id,lot_area,utilities,neighborhood,bldg_type,house_style,overall_qual,overall_cond,foundation,bsmtfin_type_2,total_bsmt_sf,heating,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,pool_area,mo_sold,sale_type,saleprice,age
109,13517,AllPub,Sawyer,1Fam,2Story,6,8,CBlock,Unf,725.0,GasA,725,754,1479,0.0,0.0,2,1,3,1,Gd,6,0,Attchd,2.0,475.0,Y,0,44,0,0,3,WD ,130500,34
544,11492,AllPub,SawyerW,1Fam,2Story,7,5,PConc,Unf,913.0,GasA,913,1209,2122,1.0,0.0,2,1,4,1,Gd,8,1,Attchd,2.0,559.0,Y,0,74,0,0,4,WD ,220000,13
153,7922,AllPub,NAmes,1Fam,1Story,5,7,CBlock,Unf,1057.0,GasA,1057,0,1057,1.0,0.0,1,0,3,1,Gd,5,0,Detchd,1.0,246.0,Y,0,52,0,0,1,WD ,109000,57
318,9802,AllPub,Timber,1Fam,2Story,5,5,PConc,Unf,384.0,GasA,744,700,1444,0.0,0.0,2,1,3,1,TA,7,0,BuiltIn,2.0,400.0,Y,100,0,0,0,4,WD ,174000,4
255,14235,AllPub,SawyerW,1Fam,1.5Fin,6,8,PConc,Unf,676.0,GasA,831,614,1445,0.0,0.0,2,0,3,1,TA,6,0,Detchd,2.0,484.0,N,0,59,0,0,3,WD ,138500,110
138,16492,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Rec,1517.0,GasA,1888,0,1888,0.0,0.0,2,1,2,1,Gd,6,1,Attchd,2.0,578.0,Y,0,0,0,0,6,WD ,190000,44
2827,3675,AllPub,Edwards,TwnhsE,SFoyer,6,5,PConc,Unf,547.0,GasA,1072,0,1072,1.0,0.0,2,0,2,1,TA,5,0,Basment,2.0,525.0,Y,0,44,0,0,6,New,140000,1
145,12160,AllPub,NAmes,1Fam,1Story,5,5,CBlock,Unf,1188.0,GasA,1188,0,1188,1.0,0.0,1,0,3,1,TA,6,0,Attchd,2.0,531.0,Y,0,0,0,0,5,COD,142000,51
1942,15783,AllPub,OldTown,1Fam,1Story,5,5,CBlock,Unf,924.0,GasA,924,0,924,0.0,0.0,1,0,2,1,TA,6,0,Detchd,1.0,420.0,Y,0,324,0,0,6,WD ,112500,55
1956,11606,AllPub,NAmes,1Fam,2Story,5,5,PConc,Unf,1040.0,GasA,1040,1040,2080,0.0,1.0,1,2,5,1,Fa,9,2,Attchd,2.0,504.0,Y,335,0,0,0,9,WD ,135000,38
