lot_frontage,lot_area,utilities,neighborhood,bldg_type,house_style,overall_qual,foundation,bsmt_cond,bsmtfin_type_1,bsmtfin_sf_1,total_bsmt_sf,heating,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,pool_area,sale_type,saleprice,age,garage_age
72.77464788732394,13517,AllPub,Sawyer,1Fam,2Story,6,CBlock,TA,GLQ,533.0,725.0,GasA,725,1479,0.0,2,1,Gd,6,0,Attchd,2.0,475.0,Y,0,44,0,WD ,130500,34,34.0
43.0,11492,AllPub,SawyerW,1Fam,2Story,7,PConc,TA,GLQ,637.0,913.0,GasA,913,2122,1.0,2,1,Gd,8,1,Attchd,2.0,559.0,Y,0,74,0,WD ,220000,13,12.0
68.0,7922,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,GLQ,731.0,1057.0,GasA,1057,1057,1.0,1,0,Gd,5,0,Detchd,1.0,246.0,Y,0,52,0,WD ,109000,57,57.0
73.0,9802,AllPub,Timber,1Fam,2Story,5,PConc,TA,Unf,0.0,384.0,GasA,744,1444,0.0,2,1,TA,7,0,BuiltIn,2.0,400.0,Y,100,0,0,WD ,174000,4,3.0
82.0,14235,AllPub,SawyerW,1Fam,1.5Fin,6,PConc,Gd,Unf,0.0,676.0,GasA,831,1445,0.0,2,0,TA,6,0,Detchd,2.0,484.0,N,0,59,0,WD ,138500,110,53.0
137.0,16492,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,ALQ,247.0,1517.0,GasA,1888,1888,0.0,2,1,Gd,6,1,Attchd,2.0,578.0,Y,0,0,0,WD ,190000,44,44.0
35.0,3675,AllPub,Edwards,TwnhsE,SFoyer,6,PConc,TA,GLQ,547.0,547.0,GasA,1072,1072,1.0,2,0,TA,5,0,Basment,2.0,525.0,Y,0,44,0,New,140000,1,1.0
75.19245283018869,12160,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Rec,1000.0,1188.0,GasA,1188,1188,1.0,1,0,TA,6,0,Attchd,2.0,531.0,Y,0,0,0,COD,142000,51,51.0
62.802547770700635,15783,AllPub,OldTown,1Fam,1Story,5,CBlock,TA,Rec,292.0,924.0,GasA,924,924,0.0,1,0,TA,6,0,Detchd,1.0,420.0,Y,0,324,0,WD ,112500,55,55.0
70.0,11606,AllPub,NAmes,1Fam,2Story,5,PConc,TA,Rec,650.0,1040.0,GasA,1040,2080,0.0,1,2,Fa,9,2,Attchd,2.0,504.0,Y,335,0,0,WD ,135000,38,38.0
21.0,1680,AllPub,BrDale,Twnhs,2Story,6,CBlock,TA,ALQ,387.0,483.0,GasA,483,987,0.0,1,1,TA,4,0,Detchd,1.0,264.0,Y,0,0,0,COD,85400,37,37.0
64.0,7488,AllPub,CollgCr,1Fam,1Story,7,PConc,TA,GLQ,393.0,1208.0,GasA,1208,1208,0.0,2,0,Gd,6,0,Attchd,2.0,632.0,Y,105,58,0,WD ,183600,1,1.0
120.0,26400,AllPub,SawyerW,1Fam,2Story,5,PConc,,,0.0,0.0,GasA,1288,2016,0.0,1,0,TA,7,1,Attchd,2.0,576.0,P,0,0,0,WD ,131000,129,109.0
24.0,2645,AllPub,Somerst,Twnhs,2Story,8,PConc,TA,GLQ,813.0,960.0,GasA,962,1607,1.0,2,1,Gd,7,0,Detchd,2.0,480.0,Y,169,0,0,ConLD,200000,9,8.0
74.0,9627,AllPub,CollgCr,1Fam,1Story,7,PConc,TA,GLQ,24.0,1351.0,GasA,1361,1361,0.0,2,0,Gd,6,0,Attchd,2.0,610.0,Y,0,50,0,WD ,193000,1,1.0
93.0,10114,AllPub,Mitchel,1Fam,1Story,5,PConc,TA,Unf,0.0,1430.0,GasA,1430,1430,0.0,2,0,Gd,7,0,Attchd,2.0,624.0,Y,0,0,0,WD ,173500,6,6.0
34.0,4571,AllPub,OldTown,1Fam,2Story,5,BrkTil,TA,Unf,0.0,624.0,GasA,624,1344,0.0,1,0,TA,7,0,Detchd,3.0,513.0,Y,0,0,0,COD,98000,92,92.0
80.0,8816,AllPub,Sawyer,1Fam,1Story,5,PConc,TA,Rec,651.0,1121.0,GasA,1121,1121,1.0,1,0,TA,5,0,Detchd,2.0,480.0,Y,0,80,0,WD ,139000,46,46.0
71.0,8197,AllPub,Sawyer,1Fam,1Story,6,CBlock,TA,Unf,0.0,660.0,GasA,1285,1285,0.0,1,1,TA,7,1,Attchd,2.0,528.0,Y,138,0,0,WD ,143500,30,30.0
72.0,8640,AllPub,Somerst,1Fam,2Story,7,PConc,TA,GLQ,24.0,756.0,GasA,764,1547,0.0,2,1,Gd,7,0,Attchd,2.0,614.0,Y,169,45,0,Con,215200,1,1.0
109.0,8724,AllPub,Sawyer,1Fam,1Story,5,CBlock,TA,BLQ,492.0,894.0,GasA,894,894,0.0,1,0,TA,5,1,Attchd,2.0,450.0,Y,0,0,0,WD ,129000,39,39.0
40.0,5664,AllPub,StoneBr,TwnhsE,1Story,8,PConc,TA,GLQ,1158.0,1501.0,GasA,1659,1659,1.0,2,0,Ex,5,1,Attchd,2.0,499.0,Y,212,59,0,WD ,278000,9,9.0
103.0,12867,AllPub,NridgHt,1Fam,2Story,8,PConc,TA,Unf,0.0,1209.0,GasA,1209,2253,0.0,2,1,Ex,8,1,Attchd,2.0,575.0,Y,243,142,0,New,344133,1,1.0
72.02564102564102,7980,AllPub,Gilbert,1Fam,1Story,6,PConc,TA,ALQ,935.0,1168.0,GasA,1187,1187,1.0,2,0,TA,6,0,Attchd,2.0,420.0,Y,483,21,0,WD ,185000,18,18.0
100.0,34650,AllPub,Gilbert,2fmCon,1Story,5,CBlock,TA,Rec,1056.0,1056.0,GasA,1056,1056,1.0,1,0,TA,5,0,Attchd,2.0,572.0,Y,264,0,0,WD ,145000,51,51.0
92.0,10573,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,Rec,1312.0,1453.0,GasA,1453,1453,1.0,2,0,TA,6,1,Attchd,2.0,530.0,Y,0,49,0,WD ,187500,48,48.0
65.0,8450,AllPub,Sawyer,1Fam,1Story,5,CBlock,TA,GLQ,553.0,894.0,GasA,894,894,1.0,1,0,TA,5,1,Detchd,1.0,336.0,Y,416,144,0,WD ,138500,45,37.0
69.27272727272727,11700,AllPub,Crawfor,1Fam,1.5Fin,5,CBlock,TA,BLQ,606.0,942.0,GasA,1265,1938,0.0,2,0,Gd,7,1,Detchd,1.0,240.0,Y,0,40,0,WD ,198000,71,71.0
75.0,8250,AllPub,IDOTRR,2fmCon,2Story,5,CBlock,TA,Unf,0.0,957.0,GasA,1034,1991,0.0,2,0,TA,9,0,,0.0,0.0,N,0,0,0,WD ,119600,112,0.0
60.0,8064,AllPub,NAmes,1Fam,1.5Fin,5,CBlock,TA,Unf,0.0,672.0,GasA,672,924,0.0,1,0,TA,6,1,Detchd,2.0,576.0,Y,0,0,0,WD ,122900,58,4.0
80.0,9600,AllPub,NWAmes,1Fam,1Story,8,PConc,TA,ALQ,1104.0,2524.0,GasA,2524,2524,1.0,2,1,Gd,9,1,Attchd,2.0,542.0,Y,474,120,0,WD ,278000,28,28.0
69.27272727272727,11435,AllPub,Crawfor,1Fam,2Story,8,PConc,TA,Unf,0.0,792.0,GasA,792,1517,0.0,1,0,Gd,7,2,Detchd,2.0,400.0,Y,0,0,0,WD ,230000,77,75.0
30.0,9549,AllPub,Veenker,TwnhsE,1Story,8,PConc,Gd,LwQ,437.0,1494.0,GasA,1494,1494,1.0,1,1,Ex,6,1,Attchd,2.0,481.0,Y,0,30,0,WD ,270000,11,11.0
60.0,10950,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,ALQ,441.0,948.0,GasA,948,948,0.0,1,0,TA,5,0,Detchd,2.0,410.0,N,0,48,0,WD ,125000,55,55.0
79.0,10637,AllPub,CollgCr,1Fam,1Story,8,PConc,TA,GLQ,1288.0,1705.0,GasA,1718,1718,1.0,2,0,Gd,7,1,Attchd,3.0,826.0,Y,208,44,0,WD ,297000,2,2.0
80.0,9000,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,Unf,0.0,160.0,GasA,1142,1142,0.0,1,0,TA,5,1,Basment,1.0,384.0,Y,0,28,0,WD ,113500,51,51.0
41.0,2665,AllPub,MeadowV,TwnhsE,2Story,5,PConc,TA,ALQ,548.0,757.0,GasA,925,1475,0.0,2,0,TA,6,1,Attchd,1.0,336.0,Y,104,26,0,WD ,127000,29,29.0
105.0,11751,AllPub,NWAmes,1Fam,1Story,6,CBlock,TA,BLQ,705.0,1844.0,GasA,1844,1844,0.0,2,0,TA,7,1,Attchd,2.0,546.0,Y,0,122,0,COD,190000,33,33.0
80.0,9600,AllPub,NWAmes,1Fam,1Story,7,CBlock,TA,ALQ,916.0,1242.0,GasA,1242,1242,0.0,1,1,TA,6,1,Attchd,2.0,528.0,Y,0,0,0,WD ,175500,34,34.0
