age_house,age_garg,age_rem,lot_area,wood_deck_sf,open_porch_sf,lot_frontage,bsmtfin_sf_1,fireplaces,totrms_abvgrd,mas_vnr_area,full_bath,1st_flr_sf,total_bsmt_sf,garage_cars,garage_area,gr_liv_area,overall_qual,saleprice,ms_zoning,street,lot_shape,land_contour,utilities,condition_2,bldg_type,house_style,roof_matl,mas_vnr_type,exter_qual,bsmt_qual,bsmt_cond,kitchen_qual,garage_type,garage_finish,garage_qual,garage_cond,sale_type,neighborhood,exterior_1st,exterior_2nd
13,12.0,12,11492,0,74,43.0,637.0,1,8,132.0,2,913,913.0,2.0,559.0,2122,7,220000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,BrkFace,Gd,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,SawyerW,VinylSd,VinylSd
57,57.0,3,7922,0,52,68.0,731.0,0,5,0.0,1,1057,1057.0,1.0,246.0,1057,5,109000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,Gd,Detchd,Unf,TA,TA,WD ,NAmes,VinylSd,VinylSd
44,44.0,8,16492,0,0,137.0,247.0,1,6,0.0,2,1888,1517.0,2.0,578.0,1888,6,190000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,Gd,TA,TA,Gd,Attchd,Fin,TA,TA,WD ,NAmes,BrkFace,Plywood
1,1.0,0,3675,0,44,35.0,547.0,0,5,82.0,2,1072,547.0,2.0,525.0,1072,6,140000,RM,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,SFoyer,CompShg,BrkFace,TA,Gd,TA,TA,Basment,Fin,TA,TA,New,Edwards,VinylSd,VinylSd
38,38.0,38,11606,335,0,70.0,650.0,2,9,192.0,1,1040,1040.0,2.0,504.0,2080,5,135000,RL,Pave,IR1,HLS,AllPub,Norm,1Fam,2Story,CompShg,BrkFace,TA,Gd,TA,Fa,Attchd,Unf,TA,TA,WD ,NAmes,Plywood,Plywood
37,37.0,37,1680,0,0,21.0,387.0,0,4,232.0,1,483,483.0,1.0,264.0,987,6,85400,RM,Pave,Reg,Lvl,AllPub,Norm,Twnhs,2Story,CompShg,BrkFace,TA,TA,TA,TA,Detchd,Unf,TA,TA,COD,BrDale,HdBoard,HdBoard
1,1.0,1,7488,105,58,64.0,393.0,0,6,0.0,2,1208,1208.0,2.0,632.0,1208,7,183600,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,Gd,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,CollgCr,VinylSd,VinylSd
9,8.0,8,2645,169,0,24.0,813.0,0,7,456.0,2,962,960.0,2.0,480.0,1607,8,200000,FV,Pave,Reg,Lvl,AllPub,Norm,Twnhs,2Story,CompShg,BrkFace,Gd,Gd,TA,Gd,Detchd,Unf,TA,TA,ConLD,Somerst,MetalSd,MetalSd
1,1.0,1,9627,0,50,74.0,24.0,0,6,0.0,2,1361,1351.0,2.0,610.0,1361,7,193000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,Gd,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,CollgCr,VinylSd,VinylSd
46,46.0,46,8816,0,80,80.0,651.0,0,5,0.0,1,1121,1121.0,2.0,480.0,1121,5,139000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,Sawyer,VinylSd,VinylSd
1,1.0,1,8640,169,45,72.0,24.0,0,7,0.0,2,764,756.0,2.0,614.0,1547,7,215200,FV,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,Gd,TA,Gd,Attchd,Unf,TA,TA,Con,Somerst,VinylSd,VinylSd
39,39.0,39,8724,0,0,109.0,492.0,1,5,0.0,1,894,894.0,2.0,450.0,894,5,129000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,Gd,TA,TA,Attchd,Fin,TA,TA,WD ,Sawyer,VinylSd,VinylSd
9,9.0,9,5664,212,59,40.0,1158.0,1,5,0.0,2,1659,1501.0,2.0,499.0,1659,8,278000,RL,Pave,IR1,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,None,Gd,Gd,TA,Ex,Attchd,Fin,TA,TA,WD ,StoneBr,CemntBd,CmentBd
51,51.0,51,34650,264,0,100.0,1056.0,0,5,0.0,1,1056,1056.0,2.0,572.0,1056,5,145000,RL,Pave,Reg,Bnk,AllPub,Norm,2fmCon,1Story,CompShg,None,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,Gilbert,Wd Sdng,Wd Sdng
48,48.0,48,10573,0,49,92.0,1312.0,1,6,3.0,2,1453,1453.0,2.0,530.0,1453,6,187500,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,TA,TA,TA,Attchd,RFn,TA,TA,WD ,NAmes,MetalSd,MetalSd
